spatial_block_id,display_x,display_y,xenium_x,xenium_y,n_cells,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
block_x4_y8,78.04584034601044,54.471443649669986,4179.1368408203125,4062.8731486002603,12,0.629491154189484,0.5960333035110083,0.1062564774599331,0.5769868878806164,0.8000408243366451,0.1562709739442455,0.0245197125750324,0.1006880159571849,0.0468979328453798,0.0875372210415566
block_x4_y9,75.23408412917307,55.057609225548305,4270.599127875434,4527.616644965277,36,0.8851652018827495,0.689350572115619,0.1077743180118619,0.7146616071928394,0.6390526676777227,0.0877748551703533,0.0503262229743403,0.0712197723214965,0.070862550836875,0.0880102009748262
block_x5_y0,100.16011721584823,59.24729899655242,5008.8327229817705,425.3263216018677,12,0.0179650961907747,0.1072882758270654,0.1657314533680348,0.1988738037272099,0.233573738921848,0.4924249771185499,0.5463951157158997,0.5172659541304133,0.5860854703141283,0.5149615793862635
block_x5_y1,95.31105545730385,59.16330150851471,4985.869739879261,1224.7510320490057,22,0.7173435584003347,0.7039932753195649,0.1705833164426155,0.6538798891772835,0.6382743257757005,0.2623517063839753,0.2326179651480779,0.1523183359767423,0.2036448417005001,0.2284180512471475
block_x5_y10,72.69024445782976,59.51154879884839,5000.890849345439,4955.4472128378375,37,0.7085740671363309,0.5707078781053863,0.0667358256183434,0.6179082920593136,0.6599767484600271,0.1815062257989083,0.1232803256847748,0.0976895399606534,0.21130463584884,0.1738332695238339
block_x5_y11,70.6591649047479,58.513384147283624,4832.344796316965,5288.485700334822,7,0.9828662758062756,0.8389655241392387,0.0361322305613026,1.0,0.9710619485679136,0.0,0.0378813888590296,0.1776167048248052,0.0,0.0
block_x5_y2,93.18997222806294,58.85973985505753,4931.790117817541,1573.9353066721271,31,0.6961795550742816,0.6778190690155226,0.3901755389005912,0.6837151176334186,0.6935972318072364,0.1931916852896326,0.5028646095914948,0.1143463715802298,0.2377900770215371,0.2633599956421247
block_x5_y3,90.66519022158684,58.787810601620286,4915.180836397059,1990.122278550092,17,0.2493283386704597,0.2608775583905254,0.0994938394892457,0.3039098530768522,0.3492191070174202,0.2255375541213486,0.1171801894801276,0.452419497183422,0.3079733411763942,0.347154654296951
block_x5_y4,87.59865889401989,59.48913233912817,5025.170036764706,2497.0930319393383,17,0.7989226638222829,0.6132223241860241,0.143226726105123,0.6341009661786738,0.4888841759622957,0.1308387531307904,0.1640385936965266,0.1324025821409381,0.224444426003273,0.1288541469358897
block_x5_y6,82.62359715996182,58.921412498830705,4922.138400607639,3316.3858235677085,9,0.536807825943307,0.4426090507192871,0.0270245853696357,0.3368994737696559,0.5402666267003252,0.7452725653970408,0.4610207591148786,0.0,0.5480094093379944,0.0873572269717512
block_x5_y7,80.4554135901609,58.638407824491495,4871.363051470588,3673.375287224265,17,0.4274860683722811,0.3541544471017939,0.0313851868820997,0.316826952801289,0.384072720960244,0.4981370628554938,0.3968124271910996,0.0,0.3193147561187586,0.4984548825081348
block_x5_y8,78.06144441294978,59.15822049701657,4952.658704603041,4069.103462837838,37,0.7149067579171223,0.5349254264662487,0.2815364872365746,0.6402694687149473,0.5994998159330088,0.23729741765561,0.3578429907986298,0.1251570149570457,0.3219042104544815,0.2563432415966536
block_x5_y9,75.44367278724799,58.856289443238985,4897.916053185096,4500.191869491186,39,0.8535282713041132,0.5606970809208524,0.1195135378385408,0.7229108678240047,0.5195593407805804,0.1884441818858146,0.1707961975329697,0.1426872115782998,0.1594477276662295,0.1503301551142381
block_x6_y0,99.49942798175206,63.23608604446877,5665.89109205163,541.7624657672385,23,0.3878740233509891,0.3623226887968567,0.1160538256184137,0.5013971345049657,0.6331959977161926,0.4986430787162113,0.5681981615141702,0.0196611386233436,0.6557863296990157,0.6244243456247511
block_x6_y1,95.76397538693813,63.593629936264,5717.888785807291,1158.3887715657552,30,0.8138878516376474,0.7221611070912608,0.1530627889925075,0.8181446978146913,0.6988471934969799,0.1678741716453384,0.1493643105658121,0.0273038120794535,0.1328988781193408,0.1777141056276451
block_x6_y10,72.56538187299796,63.13180671915681,5598.1337890625,4982.836393229167,15,0.473087504861441,0.4510032053105502,0.2859222512909317,0.5155315749261173,0.5008147600403627,0.5589790520894024,0.512157439841057,0.0,0.3278808557971883,0.2154937196690332
block_x6_y11,68.564338387438,63.75352539909208,5693.231716579861,5643.753323025174,36,0.884169515128329,0.7627081626584719,0.0984169518904675,0.7883551236243628,0.5146533511237741,0.0889584540670094,0.0896600437966032,0.0653695708778118,0.1281038354626445,0.0748159347910395
