assigned_structure,feature_name,feature_kind,group_mean,rest_mean,effect_size,p_value,fdr,n_group_tiles,n_rest_tiles
S5,embedding__194,embedding,-0.94580078125,0.039703369140625,-0.9853515625,6.17367261830656e-40,1.9650348211926977e-39,127,2987
S5,embedding__319,embedding,0.9423828125,-0.0399169921875,0.982421875,6.183879050332652e-32,1.7280432892257198e-31,127,2987
S4,embedding__201,embedding,-0.60791015625,0.373046875,-0.98095703125,0.0,0.0,1184,1930
S4,embedding__103,embedding,0.607421875,-0.373291015625,0.98046875,0.0,0.0,1184,1930
S5,embedding__47,embedding,-0.93994140625,0.0394287109375,-0.9794921875,8.900941378204655e-32,2.474063577967428e-31,127,2987
S1,embedding__439,embedding,0.7060546875,-0.271484375,0.9775390625,0.0,0.0,866,2248
S1,embedding__282,embedding,-0.70458984375,0.27099609375,-0.9755859375,0.0,0.0,866,2248
S4,embedding__265,embedding,0.603515625,-0.37109375,0.974609375,0.0,0.0,1184,1930
S1,embedding__458,embedding,-0.703125,0.27099609375,-0.97412109375,0.0,0.0,866,2248
S4,embedding__200,embedding,0.603515625,-0.3701171875,0.9736328125,0.0,0.0,1184,1930
S4,embedding__130,embedding,0.60302734375,-0.36962890625,0.97265625,0.0,0.0,1184,1930
S1,embedding__193,embedding,-0.7001953125,0.26953125,-0.9697265625,0.0,0.0,866,2248
S1,embedding__384,embedding,0.7001953125,-0.269775390625,0.9697265625,0.0,0.0,866,2248
S4,embedding__14,embedding,0.60107421875,-0.36865234375,0.9697265625,0.0,0.0,1184,1930
S1,embedding__157,embedding,-0.6982421875,0.269287109375,-0.9677734375,0.0,0.0,866,2248
S1,embedding__207,embedding,0.69873046875,-0.269287109375,0.9677734375,0.0,0.0,866,2248
S1,embedding__122,embedding,-0.6962890625,0.268798828125,-0.96484375,0.0,0.0,866,2248
S1,embedding__154,embedding,-0.6962890625,0.2685546875,-0.96484375,0.0,0.0,866,2248
S1,embedding__105,embedding,-0.6962890625,0.267822265625,-0.9638671875,0.0,0.0,866,2248
S4,embedding__79,embedding,-0.59619140625,0.36572265625,-0.9619140625,0.0,0.0,1184,1930
S5,embedding__457,embedding,-0.9228515625,0.039031982421875,-0.9619140625,7.740811102233785e-22,1.7568275632026244e-21,127,2987
S5,embedding__250,embedding,0.921875,-0.0384521484375,0.96044921875,9.657853122796588e-31,2.628466804014504e-30,127,2987
S1,embedding__23,embedding,-0.693359375,0.266357421875,-0.9599609375,0.0,0.0,866,2248
S5,embedding__412,embedding,-0.92041015625,0.038909912109375,-0.95947265625,2.978391725538562e-27,7.636151673532069e-27,127,2987
S4,embedding__255,embedding,-0.59423828125,0.364990234375,-0.958984375,0.0,0.0,1184,1930
S1,embedding__28,embedding,0.69189453125,-0.266357421875,0.9580078125,0.0,0.0,866,2248
S1,embedding__166,embedding,0.69189453125,-0.265869140625,0.9580078125,0.0,0.0,866,2248
S4,embedding__61,embedding,-0.59228515625,0.364013671875,-0.9560546875,0.0,0.0,1184,1930
S4,embedding__246,embedding,0.5908203125,-0.36328125,0.9541015625,0.0,0.0,1184,1930
