cell_id,x,y,celltype,pathway,score
afmnbifp-1,2937.666748046875,5633.81640625,Dendritic Cells,MacrophageProgram,0.4166666666666667
afmpkhel-1,2892.59814453125,5482.50439453125,Macrophages,MacrophageProgram,0.5833333333333334
afnaocnb-1,2580.49755859375,5562.7939453125,Macrophages,MacrophageProgram,0.16666666666666669
afnkmhfk-1,2584.3349609375,5693.34765625,Apocrine Cells,MacrophageProgram,0.16666666666666669
afnldkmg-1,2576.6826171875,5691.85107421875,Apocrine Cells,MacrophageProgram,0.25
afnogbed-1,2518.37890625,5566.2529296875,Apocrine Cells,MacrophageProgram,0.16666666666666669
afodmeah-1,2534.048583984375,5575.0751953125,Apocrine Cells,MacrophageProgram,0.16666666666666669
afoiibgk-1,2524.83251953125,5585.6767578125,Apocrine Cells,MacrophageProgram,0.16666666666666669
afojcjmf-1,2523.14794921875,5577.1826171875,Dendritic Cells,MacrophageProgram,0.4166666666666667
afonpkpk-1,2480.220458984375,5664.97705078125,Dendritic Cells,MacrophageProgram,0.25
afoododd-1,2458.47412109375,5657.8623046875,Apocrine Cells,MacrophageProgram,0.4166666666666667
afpehkhh-1,2476.175048828125,5598.81689453125,Basal-like Structured DCIS Cells,MacrophageProgram,0.33333333333333337
afpifcjn-1,2377.679931640625,5171.0263671875,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
afpiidhg-1,2371.61328125,5167.05859375,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
afpjdjlk-1,2363.778564453125,5176.81640625,Basal-like Structured DCIS Cells,MacrophageProgram,0.25
agaaicae-1,3062.022216796875,5208.595703125,T Lymphocytes,MacrophageProgram,0.4166666666666667
agaanneb-1,2982.431640625,5243.94140625,Mast Cells,MacrophageProgram,0.5833333333333334
agabngag-1,2986.496826171875,5239.02685546875,Myoepithelial Cells,MacrophageProgram,0.16666666666666669
agaijddd-1,2947.79150390625,5310.69287109375,Basal-like Structured DCIS Cells,MacrophageProgram,0.16666666666666669
