gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene	x	y	value	category	label
EMCN	CXCL14+ Fibroblasts	4936	0.0095218800648298	0.0061657085541936	0.0083063209076175	0.0088097585516016	0.0130981370464972	18	3	0.0088097585516016	endothelial_or_axis_marker	EMCN|CXCL14+ Fibroblasts
FLT1	CXCL14+ Fibroblasts	4936	0.0117504051863857	0.0078877684657644	0.0109400324149108	0.0112836520544648	0.0177343683357502	18	5	0.0112836520544648	endothelial_or_axis_marker	FLT1|CXCL14+ Fibroblasts
GP1BA	CXCL14+ Fibroblasts	4936	0.0012155591572123	0.0008425614026255	0.0012155591572123	0.0336779029396633	0.0373784440842787	18	11	0.0336779029396633	contamination_control	GP1BA|CXCL14+ Fibroblasts
HBB	CXCL14+ Fibroblasts	4936	0.0097244732576985	0.0040597003515462	0.0040518638573743	0.0619555790711662	0.0732563394255697	18	12	0.0619555790711662	contamination_control	HBB|CXCL14+ Fibroblasts
ITGA2B	CXCL14+ Fibroblasts	4936	0.0010129659643435	0.0007021345021879	0.0010129659643435	0.0088869544689914	0.0100561379202174	18	10	0.0088869544689914	contamination_control	ITGA2B|CXCL14+ Fibroblasts
KDR	CXCL14+ Fibroblasts	4936	0.0212722852512155	0.0133277091056395	0.0170178282009724	0.0155046595469249	0.0267033752556743	18	4	0.0155046595469249	endothelial_or_axis_marker	KDR|CXCL14+ Fibroblasts
MMRN2	CXCL14+ Fibroblasts	4936	0.0036466774716369	0.0024111193486984	0.0032414910858995	0.0040408784881736	0.0057496131478398	18	6	0.0040408784881736	endothelial_or_axis_marker	MMRN2|CXCL14+ Fibroblasts
PECAM1	CXCL14+ Fibroblasts	4936	0.023095623987034	0.014339592885942	0.0176256077795786	0.0099855946133708	0.0197637812366513	18	2	0.0099855946133708	endothelial_or_axis_marker	PECAM1|CXCL14+ Fibroblasts
PF4	CXCL14+ Fibroblasts	4936	0.0016207455429497	0.0011234152035007	0.0016207455429497	0.0460964790975293	0.047059504514934	18	9	0.0460964790975293	contamination_control	PF4|CXCL14+ Fibroblasts
PPBP	CXCL14+ Fibroblasts	4936	0.0024311183144246	0.0016268403756619	0.0022285251215559	0.061907095875216	0.060962542769674	18	8	0.061907095875216	contamination_control	PPBP|CXCL14+ Fibroblasts
SELP	CXCL14+ Fibroblasts	4936	0.0018233387358184	0.0012638421039383	0.0018233387358184	0.0040325276452923	0.0070261274609913	18	1	0.0040325276452923	endothelial_or_axis_marker	SELP|CXCL14+ Fibroblasts
VWF	CXCL14+ Fibroblasts	4936	0.0212722852512155	0.0130493720227543	0.0160048622366288	0.0078692009695953	0.0182260572994437	18	0	0.0078692009695953	endothelial_or_axis_marker	VWF|CXCL14+ Fibroblasts
CLEC14A	Dendritic Cells	4008	0.0399201596806387	0.0250244204532524	0.0316866267465069	0.0392907780426103	0.0537500922623674	7	7	0.0392907780426103	endothelial_or_axis_marker	CLEC14A|Dendritic Cells
EMCN	Dendritic Cells	4008	0.0326846307385229	0.0205833496806416	0.0261976047904191	0.0294101382307964	0.04131068636178	7	3	0.0294101382307964	endothelial_or_axis_marker	EMCN|Dendritic Cells
FLT1	Dendritic Cells	4008	0.0980538922155688	0.0636484698575915	0.0843313373253493	0.0910507440462188	0.1367055362958293	7	5	0.0910507440462188	endothelial_or_axis_marker	FLT1|Dendritic Cells
GP1BA	Dendritic Cells	4008	0.0259481037924151	0.0168504265519323	0.0222055888223552	0.6735260221267357	0.6828218562874251	7	11	0.6735260221267357	contamination_control	GP1BA|Dendritic Cells
HBB	Dendritic Cells	4008	0.0184630738522954	0.0117045891317719	0.0149700598802395	0.1786251532512284	0.2706536612309971	7	12	0.1786251532512284	contamination_control	HBB|Dendritic Cells
ITGA2B	Dendritic Cells	4008	0.0137225548902195	0.0092246423754964	0.0127245508982035	0.1167567987733232	0.1263219528684566	7	10	0.1167567987733232	contamination_control	ITGA2B|Dendritic Cells
KDR	Dendritic Cells	4008	0.0531437125748503	0.0324346492072382	0.0409181636726546	0.037732530736987	0.0642063761850389	7	4	0.037732530736987	endothelial_or_axis_marker	KDR|Dendritic Cells
