cell_id,luminal_estrogen_response,epithelial_identity,basal_squamous_state,unfolded_protein_response,oxidative_phosphorylation,collagen_ecm_organization,myofibroblast_caf_activation,immune_activation,immune_exclusion,emt_invasive_front
lkemhmbd-1,0.5550318491069085,0.4165114968433135,0.0,0.33508658270498226,0.4286672816118262,0.0,0.0,0.08053674764361189,0.0,0.0
lkenkhca-1,0.6333721630461067,0.22478969174491462,0.0,0.20001052597677532,0.30680952661209615,0.0,0.0,0.0,0.0,0.0
lkgfddmb-1,0.2058471917298993,0.16551100372561392,0.0,0.6178613715766683,0.4210151953786324,0.23757093566125298,0.22597650791153603,0.12876138767900203,0.45582734337484915,0.14528944558178963
lkmkemkh-1,0.0,0.0,0.0,0.0,0.41506161995639534,0.315583584694241,0.1619293618757909,0.0,0.2253463434403612,0.21129673413700972
lkmpfjhn-1,0.06409336985662799,0.1920854497215948,0.33198384767407685,0.0841996840635926,0.1628711310699286,0.3845660843874194,0.43539999151315495,0.0,0.4550834426750253,0.16179532515568323
lknecodl-1,0.14394483686862902,0.0,0.0,0.415379512521592,0.0,0.18919778370023876,0.0,0.0,0.0,0.0
lknppfma-1,0.6665288207254064,0.4428332090048331,0.0,0.2098567197233501,0.5424825866554537,0.0,0.0,0.05350275352282405,0.04068621938862531,0.05079393958443329
llbjjkjf-1,0.4826182329724417,0.577408659544632,0.0,0.14944784443967896,0.0,0.0,0.0,0.0,0.0,0.0
llbnlenb-1,0.61797859226721,0.4894941409251567,0.10254264544338973,0.2741059203906237,0.5508127983283433,0.0,0.0,0.0,0.0,0.09282325086932688
llcajcpb-1,0.5234552226252686,0.3598428635896307,0.0,0.33719275341485466,0.0,0.0,0.0,0.0,0.0,0.0
llcbbmge-1,0.09472707907552302,0.0,0.0,0.0,0.0,0.3825132631751198,0.3502967501172611,0.0,0.5737525967625161,0.0
llcnfmkp-1,0.27742191286411944,0.4395816427726121,0.33432136283167996,0.11007252188526005,0.27913565223574877,0.1938712307089026,0.45744145016905946,0.0,0.3998693202044371,0.47431285350889946
llefejao-1,0.0,0.0,0.0,0.0,0.0,1.0,0.5674517018243076,0.0,0.9054484569300446,0.5754972320504913
llgjehjp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llhoiena-1,0.06758271483350861,0.0,0.07973127221935046,0.3314465847263887,0.0,0.574201879644107,0.2891419889166101,0.0,0.5161208781122334,0.5548232607753872
llifbfcb-1,0.6345090731582279,0.0,0.18537721504385807,0.1769657981688466,0.0,0.0,0.0,0.0,0.0,0.0
llifmfgi-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27490613306935446
llihcnbj-1,0.11587264845800212,0.0,0.0,0.11749082184574836,0.0,0.17908879467497363,0.13878694097757352,0.0,0.22392721056538112,0.1397788412843849
llilamjl-1,0.0,0.0,0.0,0.0,0.0,0.15242681431355273,0.0,0.0,0.1905898769744244,0.0
lllgpooa-1,0.7398192664014304,0.49102927048760975,0.03376888740500355,0.33351303427514645,0.3635239725794967,0.0,0.0,0.0,0.024485244632430073,0.0
lllhaalf-1,0.664994766411061,0.4993396350433232,0.0,0.377476615704705,0.32098446922436175,0.0,0.05043121468775661,0.0,0.052711096108724126,0.0
llnkhnom-1,0.5889932990673258,0.7617356778323979,0.0,0.4658851783511555,0.6613230728119448,0.0,0.0,0.0,0.0,0.334336576342814
lmafocec-1,0.7854285439295704,0.4445913100209816,0.14706115854760798,0.47219362927038483,0.4894312969470971,0.20497470093623002,0.1028831818005755,0.0,0.14307814471869115,0.16066058282960133
lmaofflm-1,0.45366443147111035,0.5994563863072799,0.0,0.1947760127128663,0.5065429386673241,0.0,0.0,0.0,0.0,0.0
lmboihon-1,0.6485694837383733,0.30538706259921694,0.0,0.27842143994838603,0.6183645511195787,0.0,0.0,0.0,0.0,0.0
lmealneo-1,0.8119702507391212,0.679385791075046,0.0,0.30096514304462046,0.5390943526174287,0.0,0.0,0.0,0.0,0.0
lmgcpdgg-1,0.6271853522821973,0.42908287335670925,0.0,0.3441781136664098,0.6013371891664437,0.0,0.0,0.0,0.0,0.0
lmhbigbp-1,0.725187809676103,0.3514118740310893,0.0,0.24633112759133444,0.3209409871450057,0.0,0.0,0.0,0.0,0.0
lmipiilb-1,0.5232955617067513,0.4529432343888734,0.0,0.24903464748320492,0.46025353015225157,0.0,0.0,0.0,0.0,0.0
lmjeieam-1,0.0,0.0,0.0,0.0,0.0,0.17450291405701993,0.24306995088074293,0.0,0.4722517590726386,0.0
lmjffekp-1,0.0,0.0,0.0,0.0,0.0,0.0,0.1557881805224757,0.0,0.0,0.24709485311321777
lmkaidbo-1,0.6386365685056721,0.3933167237445812,0.0,0.21414128976731045,0.5373088016744121,0.045421378332506826,0.0,0.0,0.0,0.0
lmnojhdo-1,0.6207836455557108,0.5383780971934822,0.0,0.3739972239700057,0.6576619425088405,0.0,0.0,0.0,0.0,0.0
lmokhebp-1,0.678169134134677,0.3851006266392363,0.0,0.372322068443462,0.6419627086342089,0.0,0.0,0.0,0.0,0.0
lnabhgfd-1,0.12814491355539961,0.0,0.0,0.16834442095737687,0.0,0.0,0.0,0.0,0.0,0.0
lnbmcach-1,0.0,0.0,0.0,0.0,0.0,0.19232467015428886,0.7448914176212327,0.0,0.5380893289923614,0.0
