ligand,receptor,sender_celltype,receiver_celltype,anchor_source_ligand,anchor_source_receptor,structure_map_source,sender_anchor,receiver_anchor,structure_bridge,sender_expr,receiver_expr,local_contact,contact_strength_raw,contact_strength_normalized,contact_coverage,cross_edge_count,prior_confidence,LR_score
JAG1,NOTCH1,Luminal-like Amorphous DCIS Cells,Myeloid Cells,precomputed,precomputed,precomputed,0.0,0.7395744237294981,0.0,0.13275554617509155,0.0024587070627964786,0.0,0.009353741496598638,0.4440855874041182,0.0,84,1.0,2.495306273976854e-05
DLL4,NOTCH3,11q13 Invasive Tumor Cells (G1/S),Luminal-like Amorphous DCIS Cells,precomputed,precomputed,precomputed,0.509882268986773,0.0,0.0,0.0008958753988410421,0.5131068416842878,0.0,0.0,0.0,0.0,19,1.0,2.4830665823383845e-05
CSF1,CSF1R,B Cells,Luminal-like Amorphous DCIS Cells,precomputed,precomputed,precomputed,0.5095141455978388,0.0,0.0,0.034822583417649544,0.013082994902830098,0.0,0.0,0.0,0.0,211,1.0,2.4790625140712882e-05
TGFB1,TGFBR2,11q13 Invasive Tumor Cells (G1/S),Luminal-like Amorphous DCIS Cells,precomputed,precomputed,precomputed,0.614614826838263,0.0,0.0,0.02290427933852047,0.01630369297954023,0.0,0.0,0.0,0.0,19,1.0,2.474387345860966e-05
CXCL12,CXCR4,Luminal-like Amorphous DCIS Cells,Macrophages,precomputed,precomputed,precomputed,0.0,0.7370798554171776,0.0,0.006120705198198609,0.04917092614889038,0.0,0.0004095004095004095,0.018479719288649263,0.0,222,1.0,2.4603913948473337e-05
DLL4,NOTCH3,CXCL14+ Fibroblasts,Luminal-like Amorphous DCIS Cells,precomputed,precomputed,precomputed,0.8999695474149415,0.0,0.0,0.0004696576149175879,0.5131068416842878,0.0,0.0007824726134585289,0.017775596063131373,0.0,1491,1.0,2.451156503796853e-05
DLL4,NOTCH3,Luminal-like Amorphous DCIS Cells,11q13 Invasive Tumor Cells (G1/S),precomputed,precomputed,precomputed,0.0,0.5135084777480219,0.0,0.011649387573427093,0.0362497659817488,0.0,0.0,0.0,0.0,26,1.0,2.451090820174028e-05
CXCL12,CXCR4,Apocrine Cells,T Lymphocytes,precomputed,precomputed,precomputed,0.0,0.929067454422166,0.0,0.00022698568102339834,1.0,0.0,0.0018427518427518426,0.014868613813258907,0.0,74,1.0,2.4397433429097043e-05
DLL4,NOTCH3,Mast Cells,Luminal-like Amorphous DCIS Cells,precomputed,precomputed,precomputed,0.7899592629148473,0.0,0.0,0.00047235258648800887,0.5131068416842878,0.0,0.0,0.0,0.0,41,1.0,2.4007558800179407e-05
CSF1,CSF1R,Apocrine Cells,Pericytes,precomputed,precomputed,precomputed,0.0,0.8563002112189677,0.0,0.02755557660641766,0.007996593535171381,0.0,0.0,0.0,0.0,9,1.0,2.3949156038087698e-05
CXCL12,CXCR4,Luminal-like Amorphous DCIS Cells,11q13 Invasive Tumor Cells,precomputed,precomputed,precomputed,0.0,0.6167051131442042,0.0,0.006120705198198609,0.04976777849846808,0.0,0.0007331378299120235,0.2505465346237659,0.0,186,1.0,2.393157850029305e-05
CXCL12,CXCR4,Endothelial Cells,Apocrine Cells,precomputed,precomputed,precomputed,0.7257649198759275,0.0,0.0,0.10272295574815776,0.002454914102060298,0.0,0.012396694214876033,0.5037037708306433,0.0,33,1.0,2.3827780988019563e-05
