region_x_bin,region_y_bin,immune_resistance__axis__checkpoint,immune_resistance__axis__myeloid,immune_resistance__axis__vascular,immune_resistance__axis__emt,immune_resistance__model__rna_only,immune_resistance__model__protein_only,immune_resistance__model__joint_activity,immune_resistance__model__discordance_burden,immune_resistance__model__checkpoint_only,immune_resistance__model__myeloid_only,immune_resistance__model__vascular_only,immune_resistance__model__emt_only,immune_resistance__model__joint_minus_checkpoint,immune_resistance__model__joint_minus_myeloid,immune_resistance__model__joint_minus_vascular,immune_resistance__model__joint_minus_emt,immune_resistance__model__myeloid_vascular_branch,immune_resistance__model__epithelial_emt_front_branch,immune_resistance__branch_target__myeloid_vascular,immune_resistance__branch_target__epithelial_emt_front,immune_resistance__held_out__myeloid_vascular,immune_resistance__held_out__epithelial_emt_front,n_cells,region_x_min,region_x_max,region_y_min,region_y_max,region_x_center,region_y_center
2,3,-0.13013671,-0.6381337,-0.10035728,-0.6058725,-0.40150174,-0.33574837,-0.36862504,0.6383163,-0.13013671,-0.6381337,-0.10035728,-0.6058725,-0.44812113,-0.27878883,-0.45804766,-0.28954256,-0.28954256,-0.45804766,0.1234093,0.010187668,0.11126006,0.07439678,1492,957.4471867879232,1435.4256172180176,728.522113263607,970.2662471930186,1196.4364020029705,849.3941802283127
2,4,-0.02364415,-0.22678581,-0.18967405,-0.52754915,-0.22267437,-0.2611522,-0.24191329,0.6647956,-0.02364415,-0.22678581,-0.18967405,-0.52754915,-0.31466967,-0.24695578,-0.25932637,-0.14670134,-0.14670134,-0.25932637,0.2578455,0.043090317,0.47116432,0.24483134,919,957.4471867879232,1435.4256172180176,970.2662471930186,1212.01038112243,1196.4364020029705,1091.1383141577244
2,5,-0.08188851,-0.47071227,0.09126314,-0.10278458,-0.1363872,-0.1456739,-0.14103055,0.6409149,-0.08188851,-0.47071227,0.09126314,-0.10278458,-0.16074458,-0.03113665,-0.21846178,-0.15377921,-0.15377921,-0.21846178,0.17995775,0.16819863,0.13312203,0.61014265,631,957.4471867879232,1435.4256172180176,1212.01038112243,1453.7545150518417,1196.4364020029705,1332.8824480871358
2,6,-0.115122676,-0.3727453,0.17848523,-0.27284414,-0.08206497,-0.20904846,-0.14555673,0.675099,-0.115122676,-0.3727453,0.17848523,-0.27284414,-0.1557014,-0.06982719,-0.2535707,-0.10312758,-0.10312758,-0.2535707,0.22096106,0.133738,0.32018209,0.5022762,659,957.4471867879232,1435.4256172180176,1453.7545150518417,1695.4986489812532,1196.4364020029705,1574.6265820165474
2,7,-0.11249427,-0.30522174,-0.1060612,-0.07038177,-0.08991643,-0.20716305,-0.14853974,0.63011545,-0.11249427,-0.30522174,-0.1060612,-0.07038177,-0.1605549,-0.09631241,-0.16269925,-0.1745924,-0.1745924,-0.16269925,0.17292929,0.24430977,0.20808081,0.7919192,495,957.4471867879232,1435.4256172180176,1695.4986489812532,1937.2427829106648,1196.4364020029705,1816.370715945959
2,8,-0.10990614,-0.41129085,0.058066882,0.09501454,-0.10120377,-0.082853995,-0.092028886,0.6150815,-0.10990614,-0.41129085,0.058066882,0.09501454,-0.08606981,0.014391761,-0.14206082,-0.15437669,-0.15437669,-0.14206082,0.1470738,0.2513995,0.114503816,0.72900766,524,957.4471867879232,1435.4256172180176,1937.2427829106648,2178.9869168400764,1196.4364020029705,2058.1148498753705
2,9,-0.12654462,-0.41325068,0.040692355,-0.21837582,-0.15854368,-0.20019569,-0.17936969,0.67642176,-0.12654462,-0.41325068,0.040692355,-0.21837582,-0.19697805,-0.10140936,-0.2527237,-0.16636765,-0.16636765,-0.2527237,0.18089901,0.15738471,0.2084063,0.6094571,571,957.4471867879232,1435.4256172180176,2178.9869168400764,2420.731050769488,1196.4364020029705,2299.858983804782
2,10,-0.12317723,-0.32543948,0.34385502,-0.06477185,-0.058842994,-0.025923774,-0.042383388,0.638403,-0.12317723,-0.32543948,0.34385502,-0.06477185,-0.0154521065,0.051968645,-0.17112952,-0.034920566,-0.034920566,-0.17112952,0.21821639,0.14795323,0.34356725,0.50292397,684,957.4471867879232,1435.4256172180176,2420.731050769488,2662.4751846988993,1196.4364020029705,2541.603117734194
2,11,-0.14917837,-0.34200537,0.06397356,0.08214536,-0.094378754,-0.078153655,-0.086266205,0.5925192,-0.14917837,-0.34200537,0.06397356,0.08214536,-0.06529548,-0.0010198174,-0.13634612,-0.1424034,-0.1424034,-0.13634612,0.15207547,0.24192873,0.12264151,0.740566,636,957.4471867879232,1435.4256172180176,2662.4751846988993,2904.219318628311,1196.4364020029705,2783.347251663605
2,12,-0.14789352,-0.3905874,0.2735448,-0.07279458,-0.09183417,-0.07703116,-0.08443267,0.6348509,-0.14789352,-0.3905874,0.2735448,-0.07279458,-0.063279055,0.017618895,-0.2037585,-0.08831204,-0.08831204,-0.2037585,0.18842843,0.1991992,0.25825825,0.6051051,666,957.4471867879232,1435.4256172180176,2904.219318628311,3145.9634525577226,1196.4364020029705,3025.0913855930166
