program,feature_kind,feature_name,effect_size,p_value,matched_control_delta,fdr
stromal_encapsulation,pathway,tls_activation,0.021453297923639814,0.19670560245894686,0.021453297923639814,0.9284504436062292
stromal_encapsulation,marker_pair,tgfb1_tgfbr2__outer_minus_inner,1.0837736471894037,0.6579050194284821,1.083773647189404,1.0
stromal_encapsulation,gene,COL4A2,0.760476274417877,0.5049850750938458,0.760476274417877,1.0
stromal_encapsulation,gene,TAGLN,0.6333980058956571,0.5049850750938458,0.6333980058956571,1.0
stromal_encapsulation,marker_pair,spp1_cd44__outer_minus_inner,0.6145158817300626,0.6579050194284821,0.6145158817300623,1.0
stromal_encapsulation,marker_pair,cxcl12_cxcr4__outer_minus_inner,0.5877866857830926,1.0,0.5877866857830926,1.0
stromal_encapsulation,gene,FN1,0.30801239124820584,0.5049850750938458,0.30801239124820584,1.0
stromal_encapsulation,gene,CD68,0.24932871756654193,0.5049850750938458,0.24932871756654193,1.0
stromal_encapsulation,gene,TGFBR2,0.21402858314002804,1.0,0.214028583140028,1.0
stromal_encapsulation,gene,CD163,0.1728371908513043,0.5049850750938458,0.1728371908513043,1.0
stromal_encapsulation,gene,CD3E,0.1338776664037444,0.5049850750938458,0.1338776664037444,1.0
stromal_encapsulation,gene,CXCR4,0.1338776664037444,0.5049850750938458,0.1338776664037444,1.0
stromal_encapsulation,gene,ACTA2,0.13222903321522,0.5049850750938458,0.13222903321522,1.0
stromal_encapsulation,gene,VEGFA,0.13222903321522,0.5049850750938458,0.13222903321522,1.0
stromal_encapsulation,gene,COL1A1,0.13222903321522,0.5049850750938458,0.13222903321522,1.0
stromal_encapsulation,gene,CXCL13,0.11709968435132188,0.5049850750938458,0.11709968435132188,1.0
stromal_encapsulation,gene,CD3D,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
stromal_encapsulation,gene,TRAC,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
stromal_encapsulation,gene,PRF1,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
stromal_encapsulation,gene,HILPDA,0.10014864952732615,0.5049850750938458,0.10014864952732615,1.0
stromal_encapsulation,pathway,emt_invasion,0.06119741499317746,0.6428348264908044,0.06119741499317747,1.0
stromal_encapsulation,pathway,myeloid_activation,0.028209439821805554,0.5049850750938458,0.028209439821805554,1.0
stromal_encapsulation,pathway,stromal_matrix,0.001615404431417028,1.0,0.0016154044314170269,1.0
stromal_encapsulation,gene,GZMB,0.0,1.0,0.0,1.0
