gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
VWF	Dendritic Cells	4008	0.11052894211576847	0.05522100562290691	0.05913173652694611	0.03330008449694626	0.06733818774704652
CDH5	Endothelial Cells	8624	1.5839517625231911	0.7467264364101632	0.6681354359925789	1.0	1.0
CLEC14A	Endothelial Cells	8624	1.3179499072356216	0.6369031538676542	0.589517625231911	1.0	1.0
COL4A1	Endothelial Cells	8624	2.700139146567718	0.9048369630620658	0.6525974025974026	1.0	1.0
COL4A2	Endothelial Cells	8624	1.5338589981447124	0.6631156701479123	0.5666743970315399	1.0	1.0
EGFL7	Endothelial Cells	8624	2.452690166975881	1.0035401669875532	0.7791048237476809	1.0	1.0
EMCN	Endothelial Cells	8624	1.4728664192949907	0.6998725922031905	0.6341604823747681	1.0	1.0
FLT1	Endothelial Cells	8624	1.5473098330241188	0.6990439290126235	0.6168831168831169	1.0	1.0
GP1BA	Endothelial Cells	8624	0.023075139146567718	0.015713943566344906	0.022147495361781077	0.6280998210665826	0.6810354823747681
HBB	Endothelial Cells	8624	0.22298237476808905	0.0655259851075393	0.055310760667903525	1.0	1.0
ITGA2B	Endothelial Cells	8624	0.021103896103896104	0.014214148765866453	0.01971243042671614	0.1799092517232712	0.1956935633490933
KDR	Endothelial Cells	8624	2.37569573283859	0.8595937927758542	0.637291280148423	1.0	1.0
MMRN2	Endothelial Cells	8624	1.2184601113172542	0.5966819729311267	0.5637755102040817	1.0	1.0
PECAM1	Endothelial Cells	8624	4.5438311688311686	1.4360279423662103	0.8918135435992579	1.0	1.0
PF4	Endothelial Cells	8624	0.009160482374768089	0.006349562530639572	0.009160482374768089	0.2605381123203701	0.2659811489530877
PPBP	Endothelial Cells	8624	0.01820500927643785	0.012204793534651398	0.016813543599257887	0.46443605334016336	0.45994382601525463
SELP	Endothelial Cells	8624	0.7355055658627088	0.3134118883013089	0.2595083487940631	1.0	1.0
VWF	Endothelial Cells	8624	6.707908163265306	1.658284249337892	0.8781307977736549	1.0	1.0
CDH5	Luminal-like Amorphous DCIS Cells	13028	0.04290758366595026	0.02793561405594611	0.03707399447344182	0.03741077413871227	0.05548874146806009
CLEC14A	Luminal-like Amorphous DCIS Cells	13028	0.03883942278170095	0.02589472443620639	0.035462081670248696	0.04065724008266916	0.0601544044697531
COL4A1	Luminal-like Amorphous DCIS Cells	13028	0.0761436905127418	0.0466263659371463	0.0578753454098864	0.05153012955986861	0.0886846088867911
COL4A2	Luminal-like Amorphous DCIS Cells	13028	0.11160577218299048	0.07121740080432573	0.09218606079214	0.10739815692854947	0.16267906451226016
EGFL7	Luminal-like Amorphous DCIS Cells	13028	0.26258827141541297	0.15636267965360173	0.18575376112987413	0.15581108240338234	0.23841947253818047
EMCN	Luminal-like Amorphous DCIS Cells	13028	0.045977893767270496	0.030530456458253502	0.04144918636782315	0.043622877647121444	0.06536072101592738
FLT1	Luminal-like Amorphous DCIS Cells	13028	0.09840343874731348	0.0644891177569788	0.08627571384709856	0.09225331210309995	0.13985747297319134
GP1BA	Luminal-like Amorphous DCIS Cells	13028	0.014276941971139085	0.009653121951733208	0.013432606693276021	0.38584357548560444	0.41305265581823764
HBB	Luminal-like Amorphous DCIS Cells	13028	0.01803807184525637	0.011776089626302647	0.015812097021799202	0.17971633096360287	0.28587741030607194
ITGA2B	Luminal-like Amorphous DCIS Cells	13028	0.011436905127417869	0.007763844977019726	0.010899600859686828	0.09826740688582858	0.10820490853447165
KDR	Luminal-like Amorphous DCIS Cells	13028	0.05273257599017501	0.03323182941548948	0.04367516119128032	0.0386599225061586	0.06853249456215457
MMRN2	Luminal-like Amorphous DCIS Cells	13028	0.02778630641694811	0.017894771142356786	0.02356463002763279	0.029990467207264414	0.041797895795620155
PECAM1	Luminal-like Amorphous DCIS Cells	13028	0.08143997543751919	0.053043306628522954	0.07038685907276634	0.03693751706608231	0.07892553278423312
PF4	Luminal-like Amorphous DCIS Cells	13028	0.011743936137549893	0.008007785246466146	0.011283389622351857	0.3285790543700732	0.32762127724900214
PPBP	Luminal-like Amorphous DCIS Cells	13028	0.015888854774332207	0.010836660254551307	0.015274792754068161	0.4123736879057146	0.417850441783509
SELP	Luminal-like Amorphous DCIS Cells	13028	0.018345102855388394	0.012353506290984192	0.017116978814860302	0.03941620197606461	0.06595926063420698
VWF	Luminal-like Amorphous DCIS Cells	13028	0.06286459932453178	0.03884715315362241	0.04927847712618975	0.023426112362300387	0.056117468207613944
