cell_id	cell_type	x	y	VWF	SELP	vwf_norm	selp_norm	ee_neighbor_count	active_sender_edges	active_receiver_edges	hotspot_score
kfojlpec-1	Endothelial Cells	9091.5498046875	1764.6878662109375	9.0	5.0	0.5349791518324556	0.5637914160289369	2	1	2	0.6891176698622091
iphojhig-1	Endothelial Cells	6710.1044921875	2305.081787109375	17.0	8.0	0.6715446200987684	0.6913742480868107	4	2	3	0.6889652745564627
gpbfcean-1	Endothelial Cells	5567.015625	4991.07666015625	16.0	4.0	0.6582645203321088	0.5064224831767222	2	1	2	0.6884646690982975
kdbgijkg-1	Endothelial Cells	9460.5361328125	1494.638427734375	19.0	8.0	0.6960239235889	0.6913742480868107	2	1	2	0.6881215804133859
eofmbklk-1	Endothelial Cells	4652.84130859375	1441.6875	10.0	9.0	0.5571233754304706	0.7245267751622539	2	2	2	0.6873753632169596
mokpcnfp-1	Endothelial Cells	5237.61865234375	4420.05078125	6.0	5.0	0.4521098326620977	0.5637914160289369	2	2	2	0.685728841310396
lnendlap-1	Endothelial Cells	9583.490234375	3325.006591796875	11.0	9.0	0.5773394676840509	0.7245267751622539	3	2	3	0.6845255649507181
knjdlmhp-1	Endothelial Cells	8300.6943359375	2279.332763671875	17.0	6.0	0.6715446200987684	0.6122961576274708	4	3	3	0.682544692482433
kfphdlmc-1	Endothelial Cells	9144.2763671875	1750.367919921875	23.0	2.0	0.7383842394404954	0.34568712404340535	4	3	0	0.6820089869268687
lmmebepc-1	Endothelial Cells	9598.7373046875	3344.916259765625	17.0	3.0	0.6715446200987684	0.4362085839710631	3	3	3	0.6802990309604691
hfnklfca-1	Endothelial Cells	3741.25244140625	4908.12255859375	11.0	4.0	0.5773394676840509	0.5064224831767222	1	1	1	0.6799338766889709
lgmdbopk-1	Endothelial Cells	8469.15625	3064.107177734375	8.0	3.0	0.510499848342324	0.4362085839710631	2	2	2	0.6797317794933991
ljbapdlf-1	Endothelial Cells	8135.759765625	3396.887939453125	17.0	8.0	0.6715446200987684	0.6913742480868107	3	2	2	0.6783588955308841
lnfpihfa-1	Endothelial Cells	9446.3740234375	3432.550537109375	58.0	23.0	0.947368907209112	1.0	2	1	1	0.6782105450647269
klkblhdo-1	Endothelial Cells	7811.60546875	1769.970947265625	23.0	8.0	0.7383842394404954	0.6913742480868107	2	1	2	0.678073618876583
kfmkkfhm-1	Endothelial Cells	9185.8857421875	1709.1566162109375	21.0	3.0	0.7181681471869151	0.4362085839710631	3	2	3	0.677046506264923
iobgonhe-1	Endothelial Cells	5368.13720703125	1970.6505126953125	25.0	5.0	0.7569812415629582	0.5637914160289369	4	3	3	0.6757567665524861
eedmdcfb-1	Endothelial Cells	3717.161865234375	3728.614990234375	11.0	5.0	0.5773394676840509	0.5637914160289369	1	1	1	0.6736840180321371
kgmjnmkd-1	Endothelial Cells	9267.2578125	1799.3333740234375	17.0	2.0	0.6715446200987684	0.34568712404340535	2	2	0	0.6725789426015618
gggjlcjl-1	Endothelial Cells	2697.67431640625	4418.76318359375	17.0	5.0	0.6715446200987684	0.5637914160289369	3	2	3	0.6725789303115142
bdcnfbge-1	Endothelial Cells	2426.038818359375	1815.9989013671875	9.0	2.0	0.5349791518324556	0.34568712404340535	1	1	0	0.6716892038160913
lokjaahe-1	Endothelial Cells	9301.703125	2868.233642578125	31.0	6.0	0.8052238587822221	0.6122961576274708	3	2	2	0.6698177306758776
kbjjjacn-1	Endothelial Cells	8000.72265625	484.1808776855469	12.0	6.0	0.5959364698065137	0.6122961576274708	1	1	1	0.6695702271469788
kbjjkafo-1	Endothelial Cells	8003.5517578125	477.472900390625	7.0	6.0	0.48313431526933326	0.6122961576274708	1	1	1	0.6695702271469788
lkhnhoip-1	Endothelial Cells	8833.796875	2949.160888671875	23.0	3.0	0.7383842394404954	0.4362085839710631	2	1	2	0.6693564665446751
ldchfafn-1	Endothelial Cells	8917.5830078125	1039.9444580078125	10.0	5.0	0.5571233754304706	0.5637914160289369	2	1	2	0.6690252341056983
jbmnlkdi-1	Endothelial Cells	6691.2744140625	2150.08740234375	18.0	2.0	0.6841065168404427	0.34568712404340535	1	1	0	0.6684702572037567
jbmojmhe-1	Endothelial Cells	6696.646484375	2143.56005859375	16.0	7.0	0.6582645203321088	0.6543128759565946	1	0	1	0.6684702572037567
jhcfpdco-1	Endothelial Cells	5800.04345703125	585.60400390625	27.0	4.0	0.7741993761749866	0.5064224831767222	5	4	5	0.6673309134644885
jhcedmop-1	Endothelial Cells	5845.92236328125	593.1140747070312	29.0	2.0	0.7902290760036176	0.34568712404340535	3	3	0	0.6666794979086886
mmpcjepl-1	Endothelial Cells	5558.25146484375	4539.68212890625	19.0	5.0	0.6960239235889	0.5637914160289369	4	2	4	0.6661248907146696
ogfdklgk-1	Endothelial Cells	9836.9384765625	3555.72216796875	10.0	6.0	0.5571233754304706	0.6122961576274708	4	3	3	0.6653476433991097
kfmldpoa-1	Endothelial Cells	9193.7138671875	1717.369384765625	45.0	6.0	0.8895407744957814	0.6122961576274708	3	1	2	0.6633241326917232
molklleh-1	Endothelial Cells	5248.67529296875	4554.78076171875	34.0	5.0	0.8260442127381088	0.5637914160289369	1	0	1	0.6631905906799969
lcpchgpo-1	Endothelial Cells	8811.3583984375	336.7460632324219	19.0	3.0	0.6960239235889	0.4362085839710631	1	1	1	0.6627623973189335
lcpcglmd-1	Endothelial Cells	8826.1611328125	326.09521484375	12.0	5.0	0.5959364698065137	0.5637914160289369	1	1	1	0.6627623973189335
