gene	cell_type	n_cells	mean_raw	mean_log1p	detection_fraction	mean_log1p_norm_by_gene	detection_norm_by_gene
SERPINE1	Basal-like Structured DCIS Cells	8760	0.03299086757990868	0.019810293295826144	0.024315068493150686	0.1057185956914939	0.1182072770851712
STXBP5	Basal-like Structured DCIS Cells	8760	0.17431506849315068	0.10949045835807289	0.13892694063926941	0.2902791953469693	0.33949696089993653
THBD	Basal-like Structured DCIS Cells	8760	0.04349315068493151	0.028262863037139888	0.03767123287671233	0.0683954501406701	0.09303456824993331
VWF	Basal-like Structured DCIS Cells	8760	0.059703196347031966	0.03572472270059318	0.04406392694063927	0.021543183995661234	0.05017922962314447
ADAMTS13	CAFs, DCIS Associated	24442	0.020211112020292937	0.013667945630288492	0.019024629735700842	0.1894279137720426	0.19354809260039452
ANGPT2	CAFs, DCIS Associated	24442	0.011905736028148269	0.00776184403822309	0.010310121921283038	0.16450678963713353	0.18333687914245972
CDH5	CAFs, DCIS Associated	24442	0.03260780623516897	0.021016315317157027	0.027575484821209393	0.028144597930925733	0.04127229800383717
CLEC14A	CAFs, DCIS Associated	24442	0.051550609606415186	0.03232060684804662	0.041117748138450205	0.05074650149206626	0.069748123514161
COL4A1	CAFs, DCIS Associated	24442	0.6216348907618034	0.3148296539066432	0.317118075443908	0.347940752598375	0.48593217530708294
COL4A2	CAFs, DCIS Associated	24442	0.5452499795434089	0.3023236262010168	0.33074216512560345	0.45591386210731766	0.5836546822269704
CXCL8	CAFs, DCIS Associated	24442	0.01955650110465592	0.012802769457700827	0.017306276082153668	0.26423772029923986	0.2663003232141396
EGFL7	CAFs, DCIS Associated	24442	0.042222404058587674	0.026353800468717554	0.0333033303330333	0.02626083273560132	0.042745634884964905
EMCN	CAFs, DCIS Associated	24442	0.041526879960723344	0.026816533178812225	0.03522624989771705	0.03831630710726091	0.05554784770852292
FLT1	CAFs, DCIS Associated	24442	0.08305375992144669	0.05430760578960633	0.07245724572457246	0.0776884020240531	0.11745700885878062
GP1BA	CAFs, DCIS Associated	24442	0.01988380656247443	0.013172922513565739	0.018001800180018002	0.5265330271018102	0.5535553555355535
HBB	CAFs, DCIS Associated	24442	0.013337697406104247	0.007988252819741002	0.010187382374601097	0.12190969440033474	0.1841844561814672
IL6	CAFs, DCIS Associated	24442	0.05261435234432534	0.03064635111328461	0.03686277718680959	0.24563345038894252	0.30133136536402455
ITGA2B	CAFs, DCIS Associated	24442	0.01992471974470174	0.013414848149562671	0.018615497913427707	0.16979246047886798	0.18480385428572182
KDR	CAFs, DCIS Associated	24442	0.04578185091236396	0.028248898284871933	0.03575812126667212	0.03286307849391143	0.05610954108511288
MMRN2	CAFs, DCIS Associated	24442	0.02585713116766222	0.016563374195535656	0.021643073398248915	0.027759132916602324	0.03838952385571753
PECAM1	CAFs, DCIS Associated	24442	0.07969887897880697	0.04719776166142451	0.056951149660420586	0.03286688250902316	0.06385992909523691
PF4	CAFs, DCIS Associated	24442	0.008632681449963178	0.005924868862445362	0.00842811553882661	0.24311189026305496	0.24471635475235837
PLAT	CAFs, DCIS Associated	24442	0.14311431143114312	0.08820209183313699	0.10907454381801816	0.04371882358610698	0.11409175903186232
PPBP	CAFs, DCIS Associated	24442	0.011046559201374683	0.007404902716391516	0.010187382374601097	0.281783037394656	0.2786815045140878
